Index;Type of architecture;Reference nr in Kierner;Boxology
1;MLRB;2;T4B-1
2;MLRB;13;T4B-2
3;MLRB;19;T4B-3
4;MLRB;20;T4B-4
5;MLRB;25;T4B-5
6;MLRB;113;T4B-6
7;MRB;105;T4B-7
8;MLRB;26;T4B-8
9;MLRB;30;T4B-9
10;MLRB;31;T4B-10
11;MLRB;36;T4B-11
12;MLRB;39;T4B-12
13;MLRB;41;T4B-13
14;MLRB;60;T4B-14
15;RBML;63;T4B-15
16;MLRB;66;T4B-16
17;MLRB;91;T4B-17
18;PERML;109;T4B-18
19;RMLT;4;T4B-19
20;RMLT;5;T4B-20
21;RMLT;35;T4B-21
22;RMLT;90;T4B-22
23;RMLT;117;T4B-23
24;RBML;29;T4B-24
25;RBML;84;T4B-25
26;RBML;23;T4B-26
27;RBML;95;T4B-27
28;MLRB;56;T4B-28
29;MLRB;74;T4B-29
30;RBML;18;T4B-30
31;RBML;3;T4B-31
32;RBML;97;T4B-32
33;RBML;28;T4B-33
34;RBML;65;T4B-34
35;RBML;114;T4B-35
36;REML;7;T4B-36
37;REML;8;T4B-37
38;REML;9;T4B-38
39;REML;11;T4B-39
40;REML;12;T4B-40
41;REML;16;T4B-41
42;REML;17;T4B-42
43;REML;38;T4B-43
44;REML;50;T4B-44
45;REML;51;T4B-45
46;REML;55;T4B-46
47;REML;59;T4B-47
48;REML;61;T4B-48
49;REML;62;T4B-49
50;REML;67;T4B-50
51;REML;69;T4B-51
52;REML;71;T4B-52
53;REML;76;T4B-53
54;REML;77;T4B-54
55;REML;82;T4B-55
56;REML;83;T4B-56
57;REML;85;T4B-57
58;REML;88;T4B-58
59;REML;93;T4B-59
60;REML;94;T4B-60
61;REML;96;T4B-61
62;REML;98;T4B-62
63;REML;100;T4B-63
64;REML;101;T4B-64
65;REML;106;T4B-65
66;REML;111;T4B-66
67;REML;112;T4B-67
68;REML;118;T4B-68
69;REML;119;T4B-69
